                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                 0.5953,                0.69443,                 1.0822,                0.85495,                0.88497,                0.94185,                0.76015,                 0.8833,                0.69517,                 1.3174,             0.00018465,             0.00018465,             0.00018465
                     48,                0.59413,                0.70452,                 1.0853,                0.88027,                0.85473,                0.93717,                0.76882,                0.82061,                0.65464,                 1.2348,             0.00018135,             0.00018135,             0.00018135
                     49,                0.59857,                0.68943,                 1.0762,                0.87878,                0.86574,                0.93477,                0.75944,                0.86806,                0.69147,                 1.2799,             0.00017806,             0.00017806,             0.00017806
                     50,                0.57851,                0.68326,                 1.0762,                0.91856,                 0.8572,                0.93496,                0.76711,                0.82545,                0.63804,                 1.2498,             0.00017476,             0.00017476,             0.00017476
                     51,                0.59279,                0.68881,                 1.0777,                0.90493,                0.86474,                0.93531,                0.74575,                0.91004,                 0.6538,                 1.3501,             0.00017146,             0.00017146,             0.00017146
                     52,                0.58001,                0.66681,                 1.0741,                0.93258,                0.84172,                0.94585,                0.77257,                0.84613,                  0.658,                 1.2757,             0.00016817,             0.00016817,             0.00016817
                     53,                0.57965,                0.65967,                 1.0672,                 0.9082,                0.86292,                0.93916,                 0.7498,                0.89623,                0.67682,                 1.3183,             0.00016487,             0.00016487,             0.00016487
                     54,                 0.5731,                0.66686,                  1.066,                0.90134,                0.88466,                0.95177,                0.75624,                0.91559,                0.62169,                 1.3554,             0.00016157,             0.00016157,             0.00016157
                     55,                0.57069,                0.65023,                 1.0602,                0.86901,                0.87119,                0.94945,                0.78613,                0.82769,                0.68091,                 1.2452,             0.00015827,             0.00015827,             0.00015827
                     56,                0.57947,                 0.6565,                 1.0687,                0.88876,                0.86002,                0.94641,                0.78633,                0.78444,                0.67992,                 1.2147,             0.00015498,             0.00015498,             0.00015498
                     57,                0.56452,                0.63695,                 1.0616,                0.89329,                0.83117,                0.93754,                0.76657,                0.81898,                 0.6857,                 1.2416,             0.00015168,             0.00015168,             0.00015168
                     58,                 0.5651,                0.64439,                 1.0697,                0.93416,                0.84589,                 0.9429,                 0.7886,                0.80543,                 0.6484,                  1.215,             0.00014838,             0.00014838,             0.00014838
                     59,                0.55834,                0.61839,                 1.0579,                0.92435,                0.84521,                0.95138,                 0.7712,                0.87233,                0.63839,                 1.2869,             0.00014509,             0.00014509,             0.00014509
                     60,                0.54927,                0.61414,                 1.0545,                0.88925,                0.85829,                0.93971,                0.77227,                0.81243,                 0.6422,                 1.2295,             0.00014179,             0.00014179,             0.00014179
                     61,                0.55348,                0.61367,                  1.057,                0.93349,                0.78868,                0.93264,                0.75666,                0.84796,                 0.6573,                 1.2729,             0.00013849,             0.00013849,             0.00013849
                     62,                0.56386,                 0.6147,                 1.0627,                0.88762,                0.85486,                0.92968,                0.75658,                0.86113,                0.69478,                 1.2749,              0.0001352,              0.0001352,              0.0001352
                     63,                0.55438,                0.59126,                 1.0541,                 0.9158,                 0.8341,                 0.9301,                0.77254,                0.79179,                0.65601,                 1.2069,              0.0001319,              0.0001319,              0.0001319
                     64,                0.55666,                 0.5938,                 1.0607,                 0.8486,                0.89462,                0.94608,                0.76907,                0.82736,                 0.6098,                 1.2433,              0.0001286,              0.0001286,              0.0001286
                     65,                0.54984,                0.59359,                 1.0493,                 0.9362,                0.86936,                0.95942,                0.77676,                0.85842,                0.59986,                 1.2819,             0.00012531,             0.00012531,             0.00012531
                     66,                0.55009,                0.59107,                 1.0535,                0.89237,                0.88878,                0.95471,                0.79096,                0.82684,                0.61131,                  1.257,             0.00012201,             0.00012201,             0.00012201
                     67,                0.54435,                0.58549,                 1.0498,                0.91511,                0.88542,                0.96403,                0.79753,                0.80767,                0.58836,                 1.2463,             0.00011871,             0.00011871,             0.00011871
                     68,                0.53028,                0.55196,                 1.0464,                0.93451,                0.85065,                0.94369,                0.77373,                0.83328,                0.61604,                 1.2618,             0.00011542,             0.00011542,             0.00011542
                     69,                 0.5268,                0.56918,                  1.043,                0.91718,                  0.875,                0.94894,                0.78055,                0.81322,                 0.5956,                 1.2513,             0.00011212,             0.00011212,             0.00011212
                     70,                 0.5314,                0.58283,                 1.0465,                0.91464,                0.87789,                0.95317,                0.76079,                 0.8885,                0.63139,                 1.3073,             0.00010882,             0.00010882,             0.00010882
                     71,                0.53851,                0.56158,                 1.0524,                0.89343,                0.88359,                0.94869,                0.77247,                0.83296,                0.63105,                 1.2706,             0.00010553,             0.00010553,             0.00010553
                     72,                 0.5319,                0.55787,                 1.0444,                0.90734,                0.87625,                0.94232,                0.76829,                 0.8184,                0.61409,                 1.2525,             0.00010223,             0.00010223,             0.00010223
                     73,                 0.5412,                0.56345,                 1.0417,                0.91202,                0.88359,                0.94704,                 0.7697,                0.83554,                0.59658,                 1.2656,             9.8934e-05,             9.8934e-05,             9.8934e-05
                     74,                0.52973,                0.55532,                 1.0432,                0.93623,                0.85766,                0.95355,                0.75916,                0.91908,                0.58623,                 1.3464,             9.5638e-05,             9.5638e-05,             9.5638e-05
                     75,                 0.5323,                0.54692,                 1.0402,                0.91524,                0.85401,                0.94978,                0.78222,                0.81325,                0.64039,                 1.2403,             9.2341e-05,             9.2341e-05,             9.2341e-05
                     76,                0.52354,                0.53047,                 1.0372,                0.93632,                0.86124,                0.94611,                0.78427,                0.79197,                0.61543,                 1.2195,             8.9044e-05,             8.9044e-05,             8.9044e-05
                     77,                0.52632,                0.54047,                 1.0477,                0.91087,                0.87869,                0.95106,                0.79281,                0.76926,                0.61235,                 1.1983,             8.5748e-05,             8.5748e-05,             8.5748e-05
                     78,                0.52363,                 0.5237,                 1.0384,                0.88947,                0.89409,                0.93788,                0.77318,                0.81704,                0.61726,                 1.2401,             8.2451e-05,             8.2451e-05,             8.2451e-05
                     79,                0.51426,                0.51787,                 1.0358,                0.92805,                0.86665,                 0.9593,                0.79668,                0.80474,                 0.5922,                  1.235,             7.9154e-05,             7.9154e-05,             7.9154e-05
                     80,                0.51399,                0.52099,                 1.0264,                0.93797,                0.84178,                0.94791,                0.78076,                0.80656,                0.59019,                 1.2541,             7.5857e-05,             7.5857e-05,             7.5857e-05
                     81,                0.50023,                0.50648,                 1.0227,                0.91171,                0.87658,                0.95136,                0.78376,                 0.8305,                0.59082,                 1.2839,             7.2561e-05,             7.2561e-05,             7.2561e-05
                     82,                0.49922,                0.50835,                 1.0256,                0.91882,                0.87874,                0.95085,                0.78013,                0.80978,                0.57566,                 1.2659,             6.9264e-05,             6.9264e-05,             6.9264e-05
                     83,                0.51568,                0.51594,                 1.0317,                 0.9366,                0.87185,                0.94713,                 0.7715,                0.84081,                0.61345,                 1.2865,             6.5967e-05,             6.5967e-05,             6.5967e-05
                     84,                0.49962,                0.50497,                 1.0212,                0.94559,                0.84145,                0.95858,                0.77891,                0.84023,                0.58934,                  1.281,             6.2671e-05,             6.2671e-05,             6.2671e-05
                     85,                0.50956,                 0.5034,                 1.0272,                 0.8736,                0.89464,                0.94473,                0.78896,                0.77632,                0.60332,                 1.2196,             5.9374e-05,             5.9374e-05,             5.9374e-05
                     86,                0.50028,                0.50687,                 1.0241,                0.88828,                0.88586,                0.94637,                0.77696,                0.81438,                0.58542,                 1.2585,             5.6077e-05,             5.6077e-05,             5.6077e-05
