                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                0.62927,                0.77009,                 1.1591,                0.91843,                0.86638,                0.94447,                0.75822,                0.90503,                0.64338,                 1.4744,             0.00025553,             0.00025553,             0.00025553
                     50,                0.61652,                0.75314,                 1.1608,                0.90163,                0.86362,                0.94168,                0.75142,                 0.8603,                0.66382,                  1.466,             0.00025388,             0.00025388,             0.00025388
                     51,                0.62044,                0.71974,                  1.163,                 0.8855,                0.85269,                0.94287,                0.72125,                 1.0149,                0.67018,                 1.6224,             0.00025223,             0.00025223,             0.00025223
                     52,                0.61234,                0.73297,                 1.1533,                0.93589,                0.86881,                0.94975,                0.74838,                0.89613,                0.61158,                  1.481,             0.00025058,             0.00025058,             0.00025058
                     53,                0.61222,                0.72765,                  1.149,                0.91859,                0.88827,                0.95748,                0.74908,                0.91225,                0.57848,                 1.4996,             0.00024893,             0.00024893,             0.00024893
                     54,                0.59969,                0.71503,                 1.1423,                0.92394,                 0.8696,                0.94909,                0.74797,                0.90476,                0.61292,                 1.4772,             0.00024729,             0.00024729,             0.00024729
                     55,                0.60174,                0.71298,                 1.1445,                0.92932,                0.86076,                0.95629,                0.76033,                 0.8879,                0.64657,                 1.4558,             0.00024564,             0.00024564,             0.00024564
                     56,                0.60991,                0.72775,                 1.1485,                0.87818,                0.88755,                0.95225,                 0.7681,                0.83092,                0.63999,                 1.4069,             0.00024399,             0.00024399,             0.00024399
                     57,                0.60839,                0.70344,                 1.1527,                0.92613,                0.83152,                0.94582,                0.74788,                0.93827,                0.65686,                 1.5396,             0.00024234,             0.00024234,             0.00024234
                     58,                0.60171,                0.70069,                  1.155,                0.91444,                 0.8902,                0.94815,                0.75357,                0.90736,                0.59004,                 1.4763,             0.00024069,             0.00024069,             0.00024069
                     59,                0.59852,                0.69016,                 1.1456,                0.89864,                0.85439,                0.92245,                0.73061,                0.90654,                0.66941,                 1.4681,             0.00023904,             0.00023904,             0.00023904
                     60,                0.58541,                0.69751,                 1.1413,                0.93481,                0.86623,                0.95789,                0.77003,                0.86386,                0.57816,                 1.4583,              0.0002374,              0.0002374,              0.0002374
                     61,                0.58551,                0.67396,                 1.1329,                0.91465,                0.88374,                0.96676,                0.75544,                0.93363,                0.57483,                 1.5276,             0.00023575,             0.00023575,             0.00023575
                     62,                0.59328,                0.67644,                 1.1351,                0.88886,                0.89616,                0.95231,                0.75394,                 0.9419,                0.65525,                 1.5243,              0.0002341,              0.0002341,              0.0002341
                     63,                0.58616,                0.66636,                 1.1316,                0.93102,                0.87834,                0.96189,                0.76706,                0.89735,                0.58338,                 1.4949,             0.00023245,             0.00023245,             0.00023245
                     64,                 0.6039,                 0.6591,                 1.1488,                0.92317,                0.87174,                0.94441,                0.76141,                0.88925,                0.60134,                 1.4614,              0.0002308,              0.0002308,              0.0002308
                     65,                0.59884,                0.67517,                 1.1369,                0.90929,                0.87086,                0.95033,                0.75438,                 0.8687,                0.65477,                  1.477,             0.00022915,             0.00022915,             0.00022915
                     66,                0.59289,                0.65472,                 1.1376,                0.92964,                0.86523,                0.94034,                0.74141,                0.94129,                0.61009,                 1.5414,             0.00022751,             0.00022751,             0.00022751
                     67,                0.57963,                0.64534,                 1.1307,                0.91837,                0.87591,                0.95287,                0.78591,                0.80886,                0.62036,                 1.3654,             0.00022586,             0.00022586,             0.00022586
                     68,                0.56793,                0.62093,                 1.1286,                0.93481,                0.86606,                0.96219,                0.77095,                0.88932,                0.58031,                 1.4505,             0.00022421,             0.00022421,             0.00022421
                     69,                 0.5702,                0.63329,                 1.1231,                0.93024,                0.85542,                0.95019,                 0.7739,                0.82323,                0.59617,                  1.398,             0.00022256,             0.00022256,             0.00022256
                     70,                0.57291,                0.65102,                 1.1298,                0.96338,                0.88772,                0.95564,                0.76854,                0.88857,                0.54803,                 1.4831,             0.00022091,             0.00022091,             0.00022091
                     71,                0.57995,                0.62847,                 1.1328,                 0.9136,                0.87558,                0.95499,                 0.7761,                0.85919,                0.56184,                 1.4426,             0.00021926,             0.00021926,             0.00021926
                     72,                0.57233,                0.62558,                 1.1243,                0.88245,                0.86926,                0.95733,                0.76918,                0.90833,                0.62989,                  1.531,             0.00021762,             0.00021762,             0.00021762
                     73,                0.58528,                0.63625,                 1.1268,                0.91894,                0.84404,                0.95512,                0.76519,                0.87844,                0.53811,                 1.4425,             0.00021597,             0.00021597,             0.00021597
                     74,                0.57282,                0.63768,                 1.1251,                0.94345,                0.88275,                0.96354,                0.74545,                0.96088,                0.55945,                 1.5632,             0.00021432,             0.00021432,             0.00021432
                     75,                0.56602,                0.61624,                 1.1193,                0.86741,                0.88932,                0.94883,                0.74399,                 0.9402,                0.59681,                 1.5494,             0.00021267,             0.00021267,             0.00021267
                     76,                0.57569,                0.59669,                 1.1254,                0.89815,                0.89947,                0.96476,                 0.7545,                 0.9472,                0.57229,                 1.5674,             0.00021102,             0.00021102,             0.00021102
                     77,                0.57176,                0.60886,                 1.1297,                 0.9116,                0.87294,                0.96187,                0.77086,                0.83481,                0.56292,                 1.4113,             0.00020937,             0.00020937,             0.00020937
                     78,                0.56214,                 0.5818,                 1.1182,                0.91946,                0.88401,                0.95149,                0.78777,                0.76248,                0.57312,                 1.3398,             0.00020773,             0.00020773,             0.00020773
                     79,                0.56332,                0.58555,                 1.1194,                0.94087,                0.85468,                0.95707,                0.76395,                0.87498,                0.56551,                  1.489,             0.00020608,             0.00020608,             0.00020608
                     80,                 0.5585,                0.58418,                 1.1132,                0.91039,                0.87345,                 0.9526,                0.75784,                0.90314,                0.60803,                 1.5091,             0.00020443,             0.00020443,             0.00020443
                     81,                0.54857,                0.57525,                 1.1125,                0.92969,                0.86677,                0.95276,                0.76965,                0.84877,                0.54509,                 1.4459,             0.00020278,             0.00020278,             0.00020278
                     82,                0.54217,                0.57424,                 1.1121,                 0.9381,                 0.9086,                 0.9648,                 0.7662,                0.88669,                0.52362,                 1.5107,             0.00020113,             0.00020113,             0.00020113
                     83,                 0.5681,                0.58506,                 1.1196,                0.86979,                0.90513,                0.96363,                0.77385,                0.84031,                0.56678,                 1.4254,             0.00019948,             0.00019948,             0.00019948
                     84,                 0.5466,                0.57462,                 1.1081,                0.92181,                0.85005,                 0.9434,                0.74311,                0.89848,                0.61168,                 1.5185,             0.00019784,             0.00019784,             0.00019784
                     85,                0.55691,                0.57827,                 1.1172,                0.90203,                 0.8944,                0.94545,                 0.7425,                0.92116,                0.58482,                 1.5349,             0.00019619,             0.00019619,             0.00019619
